page,title,year of issue,genres,developer,download link
https://v.otxataba.net/games/torrent_igry/rpg/hellpoint/2-1-0-1479,Hellpoint [1.01 Build 5361986] (2020) скачать торрент RePack от xatab ,2020,RPG/Action/Horror,Cradle Games,https://v.otxataba.net/index.php?do=download&id=2360
https://v.otxataba.net/games/torrent_igry/action/destroy-all-humans/5-1-0-1475,Destroy All Humans! [v 1.0.2491] (2020) скачать торрент RePack от xatab ,2020,Action/Adventure,"Black Forest Games, Pandemic Studios",https://v.otxataba.net/index.php?do=download&id=2340
https://v.otxataba.net/games/torrent_igry/3d/house_flipper_2018_pc_124_repack_by_xatab/3-1-0-589,House Flipper  [v .1.20188 + DLC] (2018) скачать торрент RePack от xatab ,2018,3D/Simulator,"Empyrean, Red Dot Games",https://v.otxataba.net/index.php?do=download&id=2351
https://v.otxataba.net/games/torrent_igry/3d/sins-of-a-solar-empire-rebellion-v-195-4-dlc/3-1-0-1482,Sins of a Solar Empire - Rebellion [v 1.95 + 4 DLC] (2012) скачать торрент RePack от xatab ,2012,3D/Strategy/Real-time,Ironclad Games,https://v.otxataba.net/index.php?do=download&id=2353
https://v.otxataba.net/games/torrent_igry/action/state_of_decay_2_2018_pc_124_repack_by_xatab/5-1-0-612,State of Decay 2 Juggernaut Edition [1.0 build 399738 Update 19] (2020) скачать торрент RePack от xatab ,13 мар. 2020,Action/Horror,Undead Labs,https://v.otxataba.net/index.php?do=download&id=2355
https://v.otxataba.net/games/torrent_igry/3rd_person/destroy-all-humans-gog-2020-pc-licenzija/4-1-0-1480,Destroy All Humans! v.1.0.2491 [GOG] (2005-2020) скачать торрент Лицензия ,21 июня 2005 для консолей / 28 июля 2020 для PC,3rd Person/Action,"Black Forest Games, Pandemic Studios",https://v.otxataba.net/index.php?do=download&id=2347
https://v.otxataba.net/games/torrent_igry/3d/what-happened/3-1-0-1481,What Happened (2020) скачать торрент RePack от xatab ,2020,3D/Horror,Genius Slackers,https://v.otxataba.net/index.php?do=download&id=2348
https://v.otxataba.net/games/torrent_igry/rpg/monster-hunter-world-build-140000-2018-pc-repack-ot-xatab/2-1-0-1474,Monster Hunter: World (build 14.00.00) (2018) скачать торрент RePack от xatab ,2018,RPG/3rd Person/Action,"CAPCOM Co., Ltd.",https://v.otxataba.net/index.php?do=download&id=2339
https://v.otxataba.net/games/torrent_igry/strategy/total_war_warhammer_ii_sega_rus_124_eng_repack_ot_xatab/7-1-0-471,Total War: WARHAMMER II (v.1.9.2+DLC) (2017) скачать торрент RePack от xatab ,28 сентября 2017,Strategy,Creative Assembly,https://v.otxataba.net/index.php?do=download&id=2345
https://v.otxataba.net/games/torrent_igry/action/fury-unleashed-codex-2020-pc-licenzija/5-1-0-1362,Fury Unleashed v.1.0.11 [GOG] (2020) скачать торрент Лицензия ,8 мая 2020,Action/Arcade,Awesome Games Studio,https://v.otxataba.net/index.php?do=download&id=2350
https://v.otxataba.net/games/torrent_igry/3rd_person/blades-of-time-limited-edition-gog-2012-pc-licenzija/4-1-0-1477,Blades of Time: Limited Edition [GOG] (2012) скачать торрент Лицензия ,21 апреля 2012,3rd Person/Action/Shooter,Gaijin Entertainment,https://v.otxataba.net/index.php?do=download&id=2343
https://v.otxataba.net/games/torrent_igry/3rd_person/x-blades-onibljejd-l-2007-2009-pc-licenzija/4-1-0-1478,X-Blades (Ониблэйд) [L] (2007-2009) скачать торрент Лицензия ,23 ноября 2007 – 20 февраля 2009,3rd Person/Action/Shooter,Gaijin Entertainment,https://v.otxataba.net/index.php?do=download&id=2344
https://v.otxataba.net/games/torrent_igry/action/maid-of-sker/5-1-0-1476,Maid of Sker (2020) скачать торрент RePack от xatab ,2020,Action/Adventure,Wales Interactive,https://v.otxataba.net/index.php?do=download&id=2341
https://v.otxataba.net/games/torrent_igry/simulator/the_sims_4_deluxe_edition_v_1_20_60_1020_2014_pc_124_repack_ot_xatab/18-1-0-318,"The Sims 4: Deluxe Edition [v 1.65.70.1020 (64х) , v 1.65.70.1520(32х) + DLC] (2014) скачать торрент RePack от xatab ",2014,Simulator,The Sims Studio,https://v.otxataba.net/index.php?do=download&id=2342
